protocol,src_ip,dst_ip,src_port,dst_port,pkt_count,byte_count,duration_ms,avg_ipt_ms,min_ipt_ms,max_ipt_ms,kernel_label,label
1,127.0.0.1,127.0.0.1,0,56933,1,98,0.0,0.0,0.0,0.0,ICMP,ICMP
6,127.0.0.1,127.0.0.1,41014,8080,1,74,0.0,0.0,0.0,0.0,HTTP,HTTP
6,127.0.0.1,127.0.0.1,8080,40960,1,54,0.0,0.0,0.0,0.0,HTTP,HTTP
17,127.0.0.1,127.0.0.1,57307,53,1,70,0.0,0.0,0.0,0.0,DNS,DNS
6,127.0.0.1,127.0.0.1,41084,8080,1,74,0.0,0.0,0.0,0.0,HTTP,HTTP
1,127.0.0.1,127.0.0.1,2048,44817,1,98,0.0,0.0,0.0,0.0,ICMP,ICMP
6,127.0.0.1,127.0.0.1,8080,40990,1,54,0.0,0.0,0.0,0.0,HTTP,HTTP
1,127.0.0.1,127.0.0.1,2048,38608,1,98,0.0,0.0,0.0,0.0,ICMP,ICMP
6,127.0.0.1,127.0.0.1,22,38640,7,549,7.552,1.259,0.008,7.009,SSH,SSH
1,127.0.0.1,127.0.0.1,0,46865,1,98,0.0,0.0,0.0,0.0,ICMP,ICMP
1,127.0.0.1,127.0.0.1,2048,40513,1,98,0.0,0.0,0.0,0.0,ICMP,ICMP
6,127.0.0.1,127.0.0.1,8080,41016,1,54,0.0,0.0,0.0,0.0,HTTP,HTTP
1,127.0.0.1,127.0.0.1,2048,55986,1,98,0.0,0.0,0.0,0.0,ICMP,ICMP
1,127.0.0.1,127.0.0.1,0,11614,1,98,0.0,0.0,0.0,0.0,ICMP,ICMP
1,127.0.0.1,127.0.0.1,771,53605,1,98,0.0,0.0,0.0,0.0,ICMP,ICMP
1,127.0.0.1,127.0.0.1,2048,51340,1,98,0.0,0.0,0.0,0.0,ICMP,ICMP
6,127.0.0.1,127.0.0.1,41050,8080,1,74,0.0,0.0,0.0,0.0,HTTP,HTTP
1,127.0.0.1,127.0.0.1,2048,9566,1,98,0.0,0.0,0.0,0.0,ICMP,ICMP
6,127.0.0.1,127.0.0.1,37548,80,1,74,0.0,0.0,0.0,0.0,HTTP,HTTP
6,127.0.0.1,127.0.0.1,40924,8080,1,74,0.0,0.0,0.0,0.0,HTTP,HTTP
